"","EVENT_DATE","COUNTRY","number"
"288",2003-10-02,"Ivory Coast",1
"289",2003-10-10,"Ivory Coast",2
"290",2003-10-15,"Ivory Coast",1
"291",2003-10-21,"Ivory Coast",1
"292",2003-11-03,"Ivory Coast",1
"293",2003-11-07,"Ivory Coast",1
"294",2003-11-12,"Ivory Coast",1
"295",2003-11-15,"Ivory Coast",1
"296",2003-11-22,"Ivory Coast",1
"297",2003-11-27,"Ivory Coast",1
"298",2003-11-28,"Ivory Coast",1
"299",2003-11-30,"Ivory Coast",2
"300",2003-12-01,"Ivory Coast",1
"301",2003-12-02,"Ivory Coast",1
"302",2003-12-03,"Ivory Coast",1
"303",2003-12-04,"Ivory Coast",1
"304",2003-12-06,"Ivory Coast",1
"305",2003-12-12,"Ivory Coast",1
"306",2003-12-16,"Ivory Coast",1
"307",2003-12-19,"Ivory Coast",1
"308",2004-01-05,"Ivory Coast",1
"309",2004-02-08,"Ivory Coast",1
"310",2004-02-16,"Ivory Coast",1
"311",2004-02-17,"Ivory Coast",1
"312",2004-03-03,"Ivory Coast",1
"313",2004-03-08,"Ivory Coast",1
"314",2004-03-09,"Ivory Coast",2
"315",2004-03-10,"Ivory Coast",1
"316",2004-03-17,"Ivory Coast",1
"317",2004-03-18,"Ivory Coast",1
"318",2004-03-19,"Ivory Coast",1
"319",2004-03-20,"Ivory Coast",1
"320",2004-03-21,"Ivory Coast",1
"321",2004-03-25,"Ivory Coast",4
"322",2004-03-26,"Ivory Coast",1
"323",2004-03-31,"Ivory Coast",2
"324",2004-04-24,"Ivory Coast",1
"325",2004-04-25,"Ivory Coast",1
"326",2004-05-06,"Ivory Coast",1
"327",2004-05-12,"Ivory Coast",2
"328",2004-05-13,"Ivory Coast",1
"329",2004-05-21,"Ivory Coast",1
"330",2004-05-29,"Ivory Coast",2
"331",2004-06-06,"Ivory Coast",2
"332",2004-06-07,"Ivory Coast",4
"333",2004-06-08,"Ivory Coast",1
"334",2004-06-10,"Ivory Coast",1
"335",2004-06-20,"Ivory Coast",2
"336",2004-06-21,"Ivory Coast",3
"337",2004-06-23,"Ivory Coast",1
"338",2004-06-25,"Ivory Coast",1
"339",2004-06-28,"Ivory Coast",1
"340",2004-08-16,"Ivory Coast",1
"341",2004-10-04,"Ivory Coast",2
"342",2004-10-05,"Ivory Coast",1
"343",2004-10-06,"Ivory Coast",1
"344",2004-10-07,"Ivory Coast",1
"345",2004-10-11,"Ivory Coast",2
"346",2004-10-26,"Ivory Coast",1
"347",2004-11-02,"Ivory Coast",2
"348",2004-11-03,"Ivory Coast",2
"349",2004-11-04,"Ivory Coast",4
"350",2004-11-05,"Ivory Coast",4
"351",2004-11-06,"Ivory Coast",13
"352",2004-11-07,"Ivory Coast",6
"353",2004-11-08,"Ivory Coast",3
